,originalquesid,questionid,title,question,views,vote,bookmarked,tags,link,answered,acceptedanswer,acceptedanswervotes,suggestedanswer,suggestedanswervotes,source,preparedquestion,preparedtitle,preparedtags
0,1066589,46898,How do I efficiently iterate over each entry in a Java Map?,"
If I have an object implementing the Map interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?
Will the ordering of elements depend on the specific map implementation that I have for the interface?
","2,562,322",3419,863,java dictionary collections iteration ,https://stackoverflow.com/questions/46898/how-do-i-efficiently-iterate-over-each-entry-in-a-java-map,44,"
Map<String, String> map = ...
for (Map.Entry<String, String> entry : map.entrySet()) {
    System.out.println(entry.getKey() + ""/"" + entry.getValue());
}

",5186,"
To summarize the other answers and combine them with what I know, I found 10 main ways to do this (see below). Also, I wrote some performance tests (see results below). For example, if we want to find the sum of all of the keys and values of a map, we can write:

Using iterator and Map.Entry
long i = 0;
Iterator<Map.Entry<Integer, Integer>> it = map.entrySet().iterator();
while (it.hasNext()) {
    Map.Entry<Integer, Integer> pair = it.next();
    i += pair.getKey() + pair.getValue();
}

Using foreach and Map.Entry
long i = 0;
for (Map.Entry<Integer, Integer> pair : map.entrySet()) {
    i += pair.getKey() + pair.getValue();
}

Using forEach from Java 8
final long[] i = {0};
map.forEach((k, v) -> i[0] += k + v);

Using keySet and foreach
long i = 0;
for (Integer key : map.keySet()) {
    i += key + map.get(key);
}

Using keySet and iterator
long i = 0;
Iterator<Integer> itr2 = map.keySet().iterator();
while (itr2.hasNext()) {
    Integer key = itr2.next();
    i += key + map.get(key);
}

Using for and Map.Entry
long i = 0;
for (Iterator<Map.Entry<Integer, Integer>> entries = map.entrySet().iterator(); entries.hasNext(); ) {
    Map.Entry<Integer, Integer> entry = entries.next();
    i += entry.getKey() + entry.getValue();
}

Using the Java 8 Stream API
final long[] i = {0};
map.entrySet().stream().forEach(e -> i[0] += e.getKey() + e.getValue());

Using the Java 8 Stream API parallel
final long[] i = {0};
map.entrySet().stream().parallel().forEach(e -> i[0] += e.getKey() + e.getValue());

Using IterableMap of Apache Collections
long i = 0;
MapIterator<Integer, Integer> it = iterableMap.mapIterator();
while (it.hasNext()) {
    i += it.next() + it.getValue();
}

Using MutableMap of Eclipse (CS) collections
final long[] i = {0};
mutableMap.forEachKeyValue((key, value) -> {
    i[0] += key + value;
});


Perfomance tests (mode = AverageTime, system = Windows 8.1 64-bit, Intel i7-4790 3.60 GHz, 16 GB)

For a small map (100 elements), score 0.308 is the best
Benchmark                          Mode  Cnt  Score    Error  Units
test3_UsingForEachAndJava8         avgt  10   0.308 ±  0.021  µs/op
test10_UsingEclipseMap             avgt  10   0.309 ±  0.009  µs/op
test1_UsingWhileAndMapEntry        avgt  10   0.380 ±  0.014  µs/op
test6_UsingForAndIterator          avgt  10   0.387 ±  0.016  µs/op
test2_UsingForEachAndMapEntry      avgt  10   0.391 ±  0.023  µs/op
test7_UsingJava8StreamApi          avgt  10   0.510 ±  0.014  µs/op
test9_UsingApacheIterableMap       avgt  10   0.524 ±  0.008  µs/op
test4_UsingKeySetAndForEach        avgt  10   0.816 ±  0.026  µs/op
test5_UsingKeySetAndIterator       avgt  10   0.863 ±  0.025  µs/op
test8_UsingJava8StreamApiParallel  avgt  10   5.552 ±  0.185  µs/op

For a map with 10000 elements,  score 37.606 is the best
Benchmark                           Mode   Cnt  Score      Error   Units
test10_UsingEclipseMap              avgt   10    37.606 ±   0.790  µs/op
test3_UsingForEachAndJava8          avgt   10    50.368 ±   0.887  µs/op
test6_UsingForAndIterator           avgt   10    50.332 ±   0.507  µs/op
test2_UsingForEachAndMapEntry       avgt   10    51.406 ±   1.032  µs/op
test1_UsingWhileAndMapEntry         avgt   10    52.538 ±   2.431  µs/op
test7_UsingJava8StreamApi           avgt   10    54.464 ±   0.712  µs/op
test4_UsingKeySetAndForEach         avgt   10    79.016 ±  25.345  µs/op
test5_UsingKeySetAndIterator        avgt   10    91.105 ±  10.220  µs/op
test8_UsingJava8StreamApiParallel   avgt   10   112.511 ±   0.365  µs/op
test9_UsingApacheIterableMap        avgt   10   125.714 ±   1.935  µs/op

For a map with 100000 elements,  score 1184.767 is the best
Benchmark                          Mode   Cnt  Score        Error    Units
test1_UsingWhileAndMapEntry        avgt   10   1184.767 ±   332.968  µs/op
test10_UsingEclipseMap             avgt   10   1191.735 ±   304.273  µs/op
test2_UsingForEachAndMapEntry      avgt   10   1205.815 ±   366.043  µs/op
test6_UsingForAndIterator          avgt   10   1206.873 ±   367.272  µs/op
test8_UsingJava8StreamApiParallel  avgt   10   1485.895 ±   233.143  µs/op
test5_UsingKeySetAndIterator       avgt   10   1540.281 ±   357.497  µs/op
test4_UsingKeySetAndForEach        avgt   10   1593.342 ±   294.417  µs/op
test3_UsingForEachAndJava8         avgt   10   1666.296 ±   126.443  µs/op
test7_UsingJava8StreamApi          avgt   10   1706.676 ±   436.867  µs/op
test9_UsingApacheIterableMap       avgt   10   3289.866 ±  1445.564  µs/op


Graphs (performance tests depending on map size)

Table (perfomance tests depending on map size)
          100     600      1100     1600     2100
test10    0.333    1.631    2.752    5.937    8.024
test3     0.309    1.971    4.147    8.147   10.473
test6     0.372    2.190    4.470    8.322   10.531
test1     0.405    2.237    4.616    8.645   10.707
test2     0.376    2.267    4.809    8.403   10.910
test7     0.473    2.448    5.668    9.790   12.125
test9     0.565    2.830    5.952   13.220   16.965
test4     0.808    5.012    8.813   13.939   17.407
test5     0.810    5.104    8.533   14.064   17.422
test8     5.173   12.499   17.351   24.671   30.403

All tests are on GitHub.
",1288,https://stackoverflow.com," 
if object implementing map interface java wish iterate every pair contained within it   efficient way going map 
will ordering element depend specific map implementation interface 
", efficiently iterate entry java map , java dictionary collection iteration 
1,1911109,1778088,How do I clone a single branch in Git?,"
I have a local Git repository called 'skeleton' that I use for storing project skeletons. It has a few branches, for different kinds of projects:
casey@agave [~/Projects/skeleton] git branch
* master
  rails
  c
  c++

If I want to check out the master branch for a new project, I can do
casey@agave [~/Projects] git clone skeleton new
Initialized empty Git repository in /Users/casey/Projects/new/.git/

and everything is how I want it. Specifically, the new master branch points to the skeleton master branch, and I can push and pull to move around changes to the basic project setup.
What doesn't work, however, is if I want to clone another branch. I can't get it so that I only pull the branch I want, for instance the rails branch, and then the new repository has a master branch that pushes to and pulls from the skeleton repository's rails branch, by default.
Is there a good way to go about doing this? Or, maybe this isn't the way that Git wants me to structure things, and I'm certainly open to that. Perhaps I should have multiple repositories, with the Ruby on Rails skeleton repository tracking the master skeleton repository? And any individual project cloning the Ruby on Rails skeleton repository.
","737,760",835,317,git branch git-clone ,https://stackoverflow.com/questions/1778088/how-do-i-clone-a-single-branch-in-git,21,"
Note: the git1.7.10 (April 2012) actually allows you to clone only one branch:
# clone only the remote primary HEAD (default: origin/master)
git clone <url> --single-branch

# as in:
git clone <url> --branch <branch> --single-branch [<folder>]

You can see it in t5500-fetch-pack.sh:
test_expect_success 'single branch clone' '
  git clone --single-branch ""file://$(pwd)/."" singlebranch
'

Tobu comments that:

This is implicit when doing a shallow clone.
This makes git clone --depth 1 the easiest way to save bandwidth.

And since Git 1.9.0 (February 2014), shallow clones support data transfer (push/pull), so that option is even more useful now.
See more at ""Is git clone --depth 1 (shallow clone) more useful than it makes out?"".

""Undoing"" a shallow clone is detailed at ""Convert shallow clone to full clone"" (git 1.8.3+)
# unshallow the current branch
git fetch --unshallow

# for getting back all the branches (see Peter Cordes' comment)
git config remote.origin.fetch refs/heads/*:refs/remotes/origin/*
git fetch --unshallow

As Chris comments:

the magic line for getting missing branches to reverse --single-branch is (git v2.1.4):

git config remote.origin.fetch +refs/heads/*:refs/remotes/origin/*
git fetch --unshallow  


With Git 2.26 (Q1 2020), ""git clone --recurse-submodules --single-branch"" now uses the same single-branch option when cloning the submodules.
See commit 132f600, commit 4731957 (21 Feb 2020) by Emily Shaffer (nasamuffin).
(Merged by Junio C Hamano -- gitster -- in commit b22db26, 05 Mar 2020)

clone: pass --single-branch during --recurse-submodules
Signed-off-by: Emily Shaffer
Acked-by: Jeff King
Previously, performing ""git clone --recurse-submodules --single-branch"" resulted in submodules cloning all branches even though the superproject cloned only one branch.
Pipe --single-branch through the submodule helper framework to make it to 'clone' later on.

",906,"
One way is to execute the following.
git clone user@git-server:project_name.git -b branch_name /your/folder

Where branch_name is the branch of your choice and ""/your/folder"" is the destination folder for that branch. It's true that this will bring other branches giving you the opportunity to merge back and forth. 
Update
Now, starting with Git 1.7.10, you can now do this
git clone user@git-server:project_name.git -b branch_name --single-branch /your/folder

",672,https://stackoverflow.com," 
i local git repository called  skeleton  use storing project skeletons  branches  different kind projects 
casey agave    projects skeleton  git branch
  master
  rails
  c
  c  

if want check master branch new project  do
casey agave    projects  git clone skeleton new
initialized empty git repository  users casey projects new  git 

and everything want it  specifically  new master branch point skeleton master branch  push pull move around change basic project setup 
what work  however  want clone another branch  canot get pull branch want  instance rail branch  new repository master branch push pull skeleton repository s rail branch  default 
is good way go this  or  maybe way git want structure things  i m certainly open that  perhaps multiple repositories  ruby rail skeleton repository tracking master skeleton repository  individual project cloning ruby rail skeleton repository 
", clone single branch git , git branch git clone 
2,510348,377454,How do I get my Python program to sleep for 50 milliseconds?,"
How do I get my Python program to sleep for 50 milliseconds?
","515,297",567,44,python timer sleep ,https://stackoverflow.com/questions/377454/how-do-i-get-my-python-program-to-sleep-for-50-milliseconds,6,"
Use time.sleep()
from time import sleep
sleep(0.05)

",879,"
Note that if you rely on sleep taking exactly 50 ms, you won't get that. It will just be about it.
",90,https://stackoverflow.com," 
how get python program sleep 50 milliseconds 
", get python program sleep 50 milliseconds , python timer sleep 
3,576169,222877,What does 'super' do in Python?,"
What's the difference between:
class Child(SomeBaseClass):
    def __init__(self):
        super(Child, self).__init__()

and:
class Child(SomeBaseClass):
    def __init__(self):
        SomeBaseClass.__init__(self)

I've seen super being used quite a lot in classes with only single inheritance. I can see why you'd use it in multiple inheritance but am unclear as to what the advantages are of using it in this kind of situation.
","227,378",587,252,python oop inheritance super ,https://stackoverflow.com/questions/222877/what-does-super-do-in-python,10,"
The benefits of super() in single-inheritance are minimal -- mostly, you don't have to hard-code the name of the base class into every method that uses its parent methods.
However, it's almost impossible to use multiple-inheritance without super(). This includes common idioms like mixins, interfaces, abstract classes, etc. This extends to code that later extends yours. If somebody later wanted to write a class that extended Child and a mixin, their code would not work properly.
",321,"
What's the difference?
SomeBaseClass.__init__(self) 

means to call SomeBaseClass's __init__. while
super(Child, self).__init__()

means to call a bound __init__ from the parent class that follows Child in the instance's Method Resolution Order (MRO). 
If the instance is a subclass of Child, there may be a different parent that comes next in the MRO. 
Explained simply
When you write a class, you want other classes to be able to use it. super() makes it easier for other classes to use the class you're writing.
As Bob Martin says, a good architecture allows you to postpone decision making as long as possible.
super() can enable that sort of architecture.
When another class subclasses the class you wrote, it could also be inheriting from other classes. And those classes could have an __init__ that comes after this __init__ based on the ordering of the classes for method resolution.
Without super you would likely hard-code the parent of the class you're writing (like the example does). This would mean that you would not call the next __init__ in the MRO, and you would thus not get to reuse the code in it.
If you're writing your own code for personal use, you may not care about this distinction. But if you want others to use your code, using super is one thing that allows greater flexibility for users of the code.
Python 2 versus 3
This works in Python 2 and 3:
super(Child, self).__init__()

This only works in Python 3:
super().__init__()

It works with no arguments by moving up in the stack frame and getting the first argument to the method (usually self for an instance method or cls for a class method - but could be other names) and finding the class (e.g. Child) in the free variables (it is looked up with the name __class__ as a free closure variable in the method).
I prefer to demonstrate the cross-compatible way of using super, but if you are only using Python 3, you can call it with no arguments.
Indirection with Forward Compatibility
What does it give you? For single inheritance, the examples from the question are practically identical from a static analysis point of view. However, using super gives you a layer of indirection with forward compatibility.
Forward compatibility is very important to seasoned developers. You want your code to keep working with minimal changes as you change it. When you look at your revision history, you want to see precisely what changed when. 
You may start off with single inheritance, but if you decide to add another base class, you only have to change the line with the bases - if the bases change in a class you inherit from (say a mixin is added) you'd change nothing in this class. Particularly in Python 2, getting the arguments to super and the correct method arguments right can be difficult. If you know you're using super correctly with single inheritance, that makes debugging less difficult going forward.
Dependency Injection
Other people can use your code and inject parents into the method resolution:
class SomeBaseClass(object):
    def __init__(self):
        print('SomeBaseClass.__init__(self) called')

class UnsuperChild(SomeBaseClass):
    def __init__(self):
        print('UnsuperChild.__init__(self) called')
        SomeBaseClass.__init__(self)

class SuperChild(SomeBaseClass):
    def __init__(self):
        print('SuperChild.__init__(self) called')
        super(SuperChild, self).__init__()

Say you add another class to your object, and want to inject a class between Foo and Bar (for testing or some other reason):
class InjectMe(SomeBaseClass):
    def __init__(self):
        print('InjectMe.__init__(self) called')
        super(InjectMe, self).__init__()

class UnsuperInjector(UnsuperChild, InjectMe): pass

class SuperInjector(SuperChild, InjectMe): pass

Using the un-super child fails to inject the dependency because the child you're using has hard-coded the method to be called after its own:
>>> o = UnsuperInjector()
UnsuperChild.__init__(self) called
SomeBaseClass.__init__(self) called

However, the class with the child that uses super can correctly inject the dependency:
>>> o2 = SuperInjector()
SuperChild.__init__(self) called
InjectMe.__init__(self) called
SomeBaseClass.__init__(self) called

Addressing a comment

Why in the world would this be useful? 

Python linearizes a complicated inheritance tree via the C3 linearization algorithm to create a Method Resolution Order (MRO).
We want methods to be looked up in that order.
For a method defined in a parent to find the next one in that order without super, it would have to 

get the mro from the instance's type 
look for the type that defines the method
find the next type with the method
bind that method and call it with the expected arguments


The UnsuperChild should not have access to InjectMe. Why isn't the conclusion ""Always avoid using super""? What am I missing here?

The UnsuperChild does not have access to InjectMe. It is the UnsuperInjector that has access to InjectMe - and yet cannot call that class's method from the method it inherits from UnsuperChild. 
Both Child classes intend to call a method by the same name that comes next in the MRO, which might be another class it was not aware of when it was created. 
The one without super hard-codes its parent's method - thus is has restricted the behavior of its method, and subclasses cannot inject functionality in the call chain.
The one with super has greater flexibility. The call chain for the methods can be intercepted and functionality injected.
You may not need that functionality, but subclassers of your code may.
Conclusion
Always use super to reference the parent class instead of hard-coding it.
What you intend is to reference the parent class that is next-in-line, not specifically the one you see the child inheriting from.
Not using super can put unnecessary constraints on users of your code.
",333,https://stackoverflow.com," 
what s difference between 
class child somebaseclass  
    def   init   self  
        super child  self    init    

and 
class child somebaseclass  
    def   init   self  
        somebaseclass   init   self 

i ve seen super used quite lot class single inheritance  see use multiple inheritance unclear advantage using kind situation 
",  super  python , python oop inheritance super 
4,1139762,1274057,How to make Git “forget” about a file that was tracked but is now in .gitignore?,"
There is a file that was being tracked by git, but now the file is on the .gitignore list.
However, that file keeps showing up in git status after it's edited. How do you force git to completely forget about it?
","1,350,217",5761,1841,git gitignore git-rm ,https://stackoverflow.com/questions/1274057/how-to-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitignore,27,"
.gitignore will prevent untracked files from being added (without an add -f) to the set of files tracked by git, however git will continue to track any files that are already being tracked.
To stop tracking a file you need to remove it from the index. This can be achieved with this command.
git rm --cached <file>

If you want to remove a whole folder, you need to remove all files in it recursively.
git rm -r --cached <folder>

The removal of the file from the head revision will happen on the next commit.
WARNING: While this will not remove the physical file from your local, it will remove the files from other developers machines on next git pull.
",6128,"
The series of commands below will remove all of the items from the Git Index (not from the working directory or local repo), and then updates the Git Index, while respecting git ignores. PS. Index = Cache
First:
git rm -r --cached . 
git add .

Then:
git commit -am ""Remove ignored files""


Or one-liner:
git rm -r --cached . && git add . && git commit -am ""Remove ignored files""

",2732,https://stackoverflow.com," 
there file tracked git  file  gitignore list 
however  file keep showing git status edited  force git completely forget it 
", make git  forget  file tracked  gitignore , git gitignore git rm 
5,3390396,27509,Detecting an undefined object property,"
What's the best way of checking if an object property in JavaScript is undefined?
","1,227,820",2910,524,javascript object undefined object-property ,https://stackoverflow.com/questions/27509/detecting-an-undefined-object-property,47,"
The usual way to check if the value of a property is the special value undefined, is:
if(o.myProperty === undefined) {
  alert(""myProperty value is the special value `undefined`"");
}

To check if an object does not actually have such a property, and will therefore return undefined by default when you try and access it:
if(!o.hasOwnProperty('myProperty')) {
  alert(""myProperty does not exist"");
}

To check if the value associated with an identifier is the special value undefined, or if that identifier has not been declared. Note: this method is the only way of referring to an undeclared (note: different from having a value of undefined) identifier without an early error:
if(typeof myVariable === 'undefined') {
  alert('myVariable is either the special value `undefined`, or it has not been declared');
}

In versions of JavaScript prior to ECMAScript 5, the property named ""undefined"" on the global object was writeable, and therefore a simple check foo === undefined might behave unexpectedly if it had accidentally been redefined. In modern JavaScript, the property is read-only.
However, in modern JavaScript, ""undefined"" is not a keyword, and so variables inside functions can be named ""undefined"" and shadow the global property. 
If you are worried about this (unlikely) edge case, you can use the void operator to get at the special undefined value itself:
if(myVariable === void 0) {
  alert(""myVariable is the special value `undefined`"");
}

",2739,"
I believe there are a number of incorrect answers to this topic. Contrary to common belief, ""undefined"" is not a keyword in JavaScript and can in fact have a value assigned to it.
Correct Code
The most robust way to perform this test is:
if (typeof myVar === ""undefined"")

This will always return the correct result, and even handles the situation where myVar is not declared.
Degenerate code. DO NOT USE.
var undefined = false;  // Shockingly, this is completely legal!
if (myVar === undefined) {
    alert(""You have been misled. Run away!"");
}

Additionally, myVar === undefined will raise an error in the situation where myVar is undeclared.
",915,https://stackoverflow.com," 
what s best way checking object property javascript undefined 
", detecting undefined object property, javascript object undefined object property 
6,9834689,822811,Showing which files have changed between two revisions,"
I want to merge two branches that have been separated for a while and wanted to know which files have been modified.
Came across this link: http://linux.yyz.us/git-howto.html which was quite useful.
The tools to compare branches I've come across are:

git diff master..branch
git log master..branch
git shortlog master..branch

Was wondering if there's something like ""git status master..branch"" to only see those files that are different between the two branches.
Without creating a new tool, I think this is the closest you can get to do that now (which of course will show repeats if a file was modified more than once):

git diff master..branch | grep ""^diff""

Was wondering if there's something I missed...
","769,023",2140,668,git branch git-branch git-diff ,https://stackoverflow.com/questions/822811/showing-which-files-have-changed-between-two-revisions,18,"
To compare the current branch against master branch:
$ git diff --name-status master

To compare any two branches:
$ git diff --name-status firstbranch..yourBranchName

There is more options to git diff in the official documentation.
",2627,"
Try
$ git diff --stat --color master..branchName

This will give you more info about each change, while still using the same number of lines.
You can also flip the branches to get an even clearer picture of the difference if you were to merge the other way: 
$ git diff --stat --color branchName..master

",412,https://stackoverflow.com," 
i want merge two branch separated wanted know file modified 
came across link  http   linux yyz us git howto html quite useful 
the tool compare branch i ve come across are 

git diff master  branch
git log master  branch
git shortlog master  branch

was wondering there s something like  git status master  branch  see file different two branches 
without creating new tool  think closest get  which course show repeat file modified once  

git diff master  branch   grep   diff 

was wondering there s something missed   
", showing file changed two revision, git branch git branch git diff 
7,8865458,19461521,How to center an element horizontally and vertically,"
I am trying to center my tabs content vertically, but when I add the CSS style display:inline-flex, the horizontal text-align disappears.
How can I make both text alignments x and y for each of my tabs?


* { box-sizing: border-box; }
#leftFrame {
  background-color: green;
  position: absolute;
  left: 0;
  right: 60%;
  top: 0;
  bottom: 0;
}
#leftFrame #tabs {
  background-color: red;
  position: absolute;
  top: 0;
  left: 0;
  right: 0;
  height: 25%;
}
#leftFrame #tabs div {
  border: 2px solid black;
  position: static;
  float: left;
  width: 50%;
  height: 100%;
  text-align: center;
  display: inline-flex;
  align-items: center;
}
<div id=leftFrame>
  <div id=tabs>
    <div>first</div>
    <div>second</div>
  </div>
</div>



","350,629",431,166,html css ,https://stackoverflow.com/questions/19461521/how-to-center-an-element-horizontally-and-vertically,23,"

Approach 1 - transform translateX/translateY:
Example Here / Full Screen Example
In supported browsers (most of them), you can use top: 50%/left: 50% in combination with  translateX(-50%) translateY(-50%) to dynamically vertically/horizontally center the element.



.container {
    position: absolute;
    top: 50%;
    left: 50%;
    -moz-transform: translateX(-50%) translateY(-50%);
    -webkit-transform: translateX(-50%) translateY(-50%);
    transform: translateX(-50%) translateY(-50%);
}
<div class=""container"">
    <span>I'm vertically/horizontally centered!</span>
</div>





Approach 2 - Flexbox method:
Example Here / Full Screen Example
In supported browsers, set the display of the targeted element to flex and use align-items: center for vertical centering and justify-content: center for horizontal centering. Just don't forget to add vendor prefixes for additional browser support (see example).



html, body, .container {
    height: 100%;
}

.container {
    display: -webkit-flexbox;
    display: -ms-flexbox;
    display: -webkit-flex;
    display: flex;
    -webkit-flex-align: center;
    -ms-flex-align: center;
    -webkit-align-items: center;
    align-items: center;
    justify-content: center;
}
<div class=""container""> 
  <span>I'm vertically/horizontally centered!</span>
</div>





Approach 3 - table-cell/vertical-align: middle:
Example Here / Full Screen Example
In some cases, you will need to ensure that the html/body element's height is set to 100%.
For vertical alignment, set the parent element's width/height to 100% and add display: table. Then for the child element, change the display to table-cell and add vertical-align: middle.
For horizontal centering, you could either add text-align: center to center the text and any other inline children elements. Alternatively, you could use margin: 0 auto, assuming the element is block level.



html, body {
    height: 100%;
}
.parent {
    width: 100%;
    height: 100%;
    display: table;
    text-align: center;
}
.parent > .child {
    display: table-cell;
    vertical-align: middle;
}
<section class=""parent"">
    <div class=""child"">I'm vertically/horizontally centered!</div>
</section>





Approach 4 - Absolutely positioned 50% from the top with displacement:
Example Here / Full Screen Example
This approach assumes that the text has a known height - in this instance, 18px. Just absolutely position the element 50% from the top, relative to the parent element. Use a negative margin-top value that is half of the element's known height, in this case - -9px.



html, body, .container {
    height: 100%;
}

.container {
    position: relative;
    text-align: center;
}

.container > p {
    position: absolute;
    top: 50%;
    left: 0;
    right: 0;
    margin-top: -9px;
}
<div class=""container"">
    <p>I'm vertically/horizontally centered!</p>
</div>





Approach 5 - The line-height method (Least flexible - not suggested):
Example Here
In some cases, the parent element will have a fixed height. For vertical centering, all you have to do is set a line-height value on the child element equal to the fixed height of the parent element.
Though this solution will work in some cases, it's worth noting that it won't work when there are multiple lines of text - like this.



.parent {
    height: 200px;
    width: 400px;
    background: lightgray;
    text-align: center;
}

.parent > .child {
    line-height: 200px;
}
<div class=""parent"">
    <span class=""child"">I'm vertically/horizontally centered!</span>
</div>



",699,"
If CSS3 is an option (or you have a fallback) you can use transform:
.center {
    right: 50%;
    bottom: 50%;
    transform: translate(50%,50%);
    position: absolute;
}

Unlike the first approach above, you don't want to use left:50% with the negative translation because there's an overflow bug in IE9+. Utilize a positive right value and you won't see horizontal scrollbars.
",32,https://stackoverflow.com," 
i trying center tab content vertically  add cs style display inline flex  horizontal text align disappears 
how make text alignment x tabs 


    box sizing  border box   
 leftframe  
  background color  green 
  position  absolute 
  left  0 
  right  60  
  top  0 
  bottom  0 
 
 leftframe  tabs  
  background color  red 
  position  absolute 
  top  0 
  left  0 
  right  0 
  height  25  
 
 leftframe  tabs div  
  border  2px solid black 
  position  static 
  float  left 
  width  50  
  height  100  
  text align  center 
  display  inline flex 
  align items  center 
 
 div id leftframe 
   div id tabs 
     div first  div 
     div second  div 
    div 
  div 



", center element horizontally vertically, html cs 
8,5137497,3718657,How do you properly determine the current script directory in Python?,"
I would like to see what is the best way to determine the current script directory in Python.
I discovered that, due to the many ways of calling Python code, it is hard to find a good solution.
Here are some problems:

__file__ is not defined if the script is executed with exec, execfile
__module__ is defined only in modules

Use cases:

./myfile.py
python myfile.py
./somedir/myfile.py
python somedir/myfile.py
execfile('myfile.py') (from another script, that can be located in another directory and that can have another current directory.

I know that there is no perfect solution, but I'm looking for the best approach that solves most of the cases.
The most used approach is os.path.dirname(os.path.abspath(__file__)) but this really doesn't work if you execute the script from another one with exec().
Warning
Any solution that uses current directory will fail, this can be different based on the way the script is called or it can be changed inside the running script.
","123,987",272,65,python pythonpath dirname ,https://stackoverflow.com/questions/3718657/how-do-you-properly-determine-the-current-script-directory-in-python,12,-,-,"
os.path.dirname(os.path.abspath(__file__))

is indeed the best you're going to get.
It's unusual to be executing a script with exec/execfile; normally you should be using the module infrastructure to load scripts. If you must use these methods, I suggest setting __file__ in the globals you pass to the script so it can read that filename.
There's no other way to get the filename in execed code: as you note, the CWD may be in a completely different place.
",241,https://stackoverflow.com," 
i would like see best way determine current script directory python 
i discovered that  due many way calling python code  hard find good solution 
here problems 

  file   defined script executed exec  execfile
  module   defined modules

use cases 

  myfile py
python myfile py
  somedir myfile py
python somedir myfile py
execfile  myfile py    from another script  located another directory another current directory 

i know perfect solution  i m looking best approach solves cases 
the used approach os path dirname os path abspath   file     really work execute script another one exec   
warning
any solution us current directory fail  different based way script called changed inside running script 
", properly determine current script directory python , python pythonpath dirname 
9,10725729,3573623,Is it possible to preview stash contents in git?,"
I often put work away for later, then other stuff comes along, and a few weeks later, I want to inspect the stash, and find out what changes it would make if I applied it to working tree in its current state.
I know I can do a git diff on the stash, but this shows me all the differences between the working tree and the stash, whereas I'm just interested to know what the stash apply is going to change.
How can I do this?
","100,328",594,96,git git-stash ,https://stackoverflow.com/questions/3573623/is-it-possible-to-preview-stash-contents-in-git,16,"
git stash show will show you the files that changed in your most recent stash.  You can add the -p option to show the diff.
git stash show -p

If the stash you are interested in is not the most recent one, then add the name of the stash to the end of the command:
git stash show -p stash@{2}

",792,"
To view a current list of stash:
git stash list

You'll see a list like this:
stash@{0}: WIP on ...
stash@{1}: ...
stash@{2}: ...
...

To view diff on any of those stashes:
git stash show -p stash@{n}

",92,https://stackoverflow.com," 
i often put work away later  stuff come along  week later  want inspect stash  find change would make applied working tree current state 
i know git diff stash  show difference working tree stash  whereas i m interested know stash apply going change 
how this 
", possible preview stash content git , git git stash 
